押印,店名,メンバー,住所,営業時間,定休日,備考,リンク
,ファミリーマート沼津下香貫店,松浦果南 ,沼津市下香貫2973-6 ,24時間営業 ,なし ,,
,食堂・ひもの販売　あじや,小原鞠莉 ,沼津市千本港町128-1　 沼津みなと新鮮館内 ,9：00～16：00 ,第二・第四火曜日  ,,http://www.siz-sba.or.jp/nu-uonaka/ajiyamain.html
,ふみ野,黒澤ダイヤ ,沼津市千本港町109 ダイレイビル1F ,6：00～15：00 ,火曜日 ,,
,とさわや,津島善子 ,沼津市内浦三津88-15 ,11：00～17：00 ,火曜日  ,,http://www.izunumazu-tosawaya.jp/
,ＯＨ！ＭＯＳ(農業組合法人おもす),国木田花丸 ,沼津市内浦重須14-10 ,8：30～17：00 ,なし  ,,http://www.wbs.ne.jp/bt/noushinkyo/sanchoku/ohmos.html
,海のステージ。,渡辺曜 ,沼津市西浦木負768-9 ,10：00～18：00 ,木曜日  ,,http://umisute.wixsite.com/umisute/
,辻宗商店,国木田花丸 ,沼津市内浦三津538 ,8：00～18：00 ,火曜日 ,,
,赤から　沼津店,黒澤ルビィ ,沼津市米山町1-5 ,11：00～26：00 ,なし  ,,https://www.yudai.co.jp/akakara/numazu_page
,海鮮丼と魚河岸定食　かもめ丸,黒澤ダイヤ ,沼津市千本港町101 千本一ビル1階 ,11：00～15：00、 17：00～21：00 ,水曜日（祝日は営業、翌日振替休業）  ,,http://www.senbon1kamome0.com
,総合事務用品フヂイ,津島善子 ,沼津市通横町6 ,9：00～18：00 ,日曜日 ,,
,リヴァージュ洋菓子店,高海千歌 ,沼津市下香貫柿原2885-2 ,10：00～18：00 ,なし  ,,https://www.gashinen.com/rivage.html
,ロットン,桜内梨子 ,沼津市上土町10 ,10:00～18:00 ,不定休  ,,http://lotn.jp
,沼津グランドホテル,高海千歌 ,沼津市大手町3丁目6-12 ,年中無休 ,なし  ,,https://www.numazu-grand.co.jp/
,アキシン商店,小原鞠莉 ,沼津市内浦重寺26-5 ,10:00～17:00 ,土曜日,,
,アベリー,津島善子 ,沼津市市場町3-20 2F リカビリーエンジェル内 ,11:00～17:00 ,不定休 ,,
,沼津・湯河原温泉 万葉の湯,松浦果南 ,沼津市岡宮1208-1 ,24時間営業 ,臨時休館有  ,,http://www.manyo.co.jp/numazu/
,マルニ茶業　沼津みなと新鮮館,国木田花丸 ,沼津市千本港町128-1　沼津みなと新鮮館内 ,9:00～16:00 ,第2･4火曜日  ,,https://www.ashitakacha.co.jp/store/index.html
,アニメイト　沼津店,渡辺曜 ,沼津市大手町5-9-21 マルトモビル1F ,月～金　11:00～20：00 土日祝　11：00～19：00 ,なし  ,,https://www.animate.co.jp/shop/numazu/
,松浦酒店,松浦果南 ,沼津市大手町3-9-1 ,9:30～19:30 ,毎週水曜日  ,,http://www.11sake.com/index2.html
,沼津リバーサイドホテル,津島善子 ,沼津市上土町100-1 ,年中無休 ,なし  ,,http://www.numazu-rs-hotel.com/
,おさかな食堂やまや,黒澤ルビィ ,沼津市内浦三津199-4 ,11:00～15:00、17:00～19:30 ※予約により変更あり ,不定休 ,※予約により変更あり 定休日／不定休 ,
,大田呉服店,桜内梨子 ,沼津市高島町3-3 ,10:00～19:00 ,火曜日  ,,http://20-753.com/
,旅館　はまゆう荘,黒澤ダイヤ ,沼津市西浦江梨986 ,9:00～17:00 ,不定休  ,,http://hamayuu.net/
,赤池カーコミュニケーツシステムズ,小原鞠莉 ,沼津市旭町19 ,9:00～18:00 ,日曜日・祝日  ,,http://akaike-ccs.com/
,ブルーウォーター,高海千歌 ,沼津市魚町15 ,11:00～22:00 ,毎週火曜日  ,,http://the-blue-water.com/
,漁師寿し　網元武田丸,国木田花丸 ,沼津市千本港町115-4 ,11:00～18:00 ,なし  ,,https://takedamaru-numazu1.com/
,遠藤新聞舗,渡辺曜 ,沼津市大手町5-11-3　4階 ,9:00～17:30 ,日曜日・祝日 ,※スタンプは建物４階に設置してあります。  ,http://la-pure-tour.com/endoushinbunho/
